business_id,categories,city,is_open,latitude,longitude,name,review_count,restaurant_star,reviews
U3kygJOTlTQFlfaZS7sQjA,"Caterers, Hot Dogs, Restaurants, Vegetarian, American (Traditional), Event Planning & Services",Charlotte,1,35.199797967399995,-80.842294693,JJ's Red Hots - Dilworth,380,4.0,"(I'd been reading the Talk Thread ""JJ's Dog of the Week - We Need Your Ideas to Create the Yelp dog!"" https:\/\/www.yelp.com\/topic\/charlotte-jjs-dog-of-the-week-we-need-your-ideas-to-create-the-yelp-dog and loved the sound of the new Yelp Dog. Grilled beef dog on a pretzel bun with beer queso, sauerkraut, mustard and sweet sauteed onions.

And it took me until Saturday to get there, but the wait was worth it. The dog was tasty and super fattening and very messy. The queso and the pretzel bun were awesome, but about three quarters of the way through, it collapsed. Still, very tasty.

Get a seat upstairs if the weather is great!),(Saw a picture of the dog of the week on Twitter. It was enough to make me leave my house and drive to JJ's immediately. Seriously, I didn't even take the time to change out of my pajamas.

This week's dog: Pork and Greens. Sauteed collard greens, bacon, red onion and pumpkin mustard. Collard greens just make everything better. Go get this. Delicious.

My other dog: The Char Heel. Chili, slaw, onions, mustard. You can never go wrong with this Carolina classic.

The two dog deal comes with a side (I went with the beans. They were good, but I wish I had went with onion rings. Rookie mistake) and a drink for less than ten bucks.

Workers were friendly. Didn't take long at all to get my food. I believe it took longer to try to bust a left turn out of the parking lot. Oh East Blvd, you win every time.

This spot has been a revolving door of places for years. It's nice to see something stick here. Cheers to JJ's!),(Ok. After trying several rounds of the ""Dog of the Week,"" I'll sell my soul for another one of them. The varieties that came out of the minds of local beer aficionados like Chris from Good Bottle, Jason from Salud, and dudes from OMB, Birdsong, or Daniel from CharlotteBeer, I'm hooked. It's what I look forward to the most upon each visit. 

Recently, I checked out the dog with peanut butter, sriracha, and bacon. Ummm....yeah. I almost lost my mind it was so good. Anything that even slightly breathes that side of Thai\/Vietnamese flavor. 

Also, summertime calls for a nice, tall orangeade. The Arnold Palmer variety is rather refreshing, too. Not too sweet and ever-so perky. 

Winner, winner!)"
4buRElPC3-ka-s2q55VVFw,"Local Flavor, Beer, Wine & Spirits, Food",Charlotte,1,35.2205899237,-80.940057576,Carolina Beer Company,77,2.0,"(Wanted to induldge in a local brewski, so I was about to order a Carolina Strawberry Ale, but the bartender askesd if I would be interested in a Seasonal Pumpkin spiced Ale that had just been brought in the day before, so I had that instead.....nice aroma, very easy to drink, and wished I had more time to savor the beer....unfortunately I had to pound that pint because I  had to hurry and board the plane.....ALOHA!!!),(Expensive stop for a drink before boarding. It was situated in front of our gate so we could keep an eye on the lines for boarding so the convenience was lovely. But bring some cash money... $15 for a cocktail. 

We ordered the Hanger One Chipotle Mary (spicy bloody mary!) and Gin & Ginger. They were heavy pours so I suppose we got some bang for the buck and a hangover mid-flight.

Sit at the bar for quick service. Lots of craft beer options at the bar too. Wish we could have stayed for one more to sample some local CLT brews.),(We sat here waiting for our plane to return to Brooklyn.

Food wasnt too bad. My friends enjoyed the beers.

Honestly, what made the place was our server Nikisha. She did a great job handling all them tables by herself.)"
8Ig8z08VcW53oMk3R13btA,"Specialty Food, Food, Popcorn Shops",Charlotte,0,35.0266509868,-80.8402292817,Tastebuds Popcorn,6,3.5,"(I really dig popcorn and especially good popcorn -- the movie theatre variety especially. However, when you start churning out varieties to the tune of Dill Pickle, Sour Patch Kids, BBQ, and pretty much any other flavor you could fathom, I'm bound to get sucked in. 

The staff was so cool and gave me samples of pretty much anything I wanted to try or that they recommended. It's an experience and you'll more than likely walk out with flavors you didn't expect to try....or even knew existed. 

My favorite, still to this day, is the Dill Pickle. It's perky and matches the flavor name rather well. A nice change from the same old plain or buttered\/salted varieties. 

They have a few different sizes to choose from. All are really affordable and would work perfectly for a potluck dinner or cookout. Or whatever. Hell, I'd just buy a bag to celebrate whatever day of the week it was. So. Good. 

Can't wait to come back and pick out some new savory flavors.)"
CGUK3cd2gxp2q3KPY19Oog,"Breakfast & Brunch, Restaurants, Coffee & Tea, Cafes, Food",Charlotte,1,35.2065071258,-80.8602583075,Roots Cafe,104,4.0,"(A really good breakfast burrito here and a strong cup of coffee, while I was waiting for my car to get serviced around the corner. It's a neat little spot with several tables and a bar that looks a bit more ""wine"" than ""breakfast"" but that's okay.

Breakfast burrito had some delicious cubed sweet potatoes in there and that was super delicious. Eggs and cheese and more. Yum!

When I'm looking for a small spot to meet for a glass of wine, I'll be back to Roots.)"
uwpPniaFEVkK5T_PWdQZ0A,"Breakfast & Brunch, Restaurants, Coffee & Tea, American (Traditional), Food",Charlotte,1,35.096737,-80.77855799999998,Le Peep,134,3.5,"(Upscale from the usual diner breakfast, this was solidly delicious with great service and great food. After reading the reviews and the tips, I chose the pancakes, which came with bacon and an egg. Bonus points for being able to poach it and as well for the bacon being cooked just the way I like it - not burned and crispy but cooked through. And the pancakes? Excellent. Thick and fluffy and tasty.

Coffee was good. Served with a carafe so I wouldn't have to wait for a waitress to notice my empty cup. Why don't more places do it this way?)"
TreYsBGjXptogQQmQh1-bg,"Breakfast & Brunch, Greek, American (Traditional), Restaurants, Mediterranean",Charlotte,1,35.212005,-80.817991,Showmars - Seventh Street,37,3.0,"(Everybody loves Showmarssssssss... and it shows. The commercial is now stuck in your head. Oops. My bad.

Now that this is my neighborhood 'Mars (why yes, I did just give Showmars a nickname), I get a little sad every time I come here. Why? Because it doesn't have Alex. He's my favorite worker at the Freedom Drive location.

I love the Grilled Chicken Santorini. Tzatziki sauce makes everything better. I'm also a big fan of the Greek Grilled Chicken Salad. Not sure how healthy it is if you eat the entire bowl, though. You have to eat the bowl. It's a must. 

SHOWMARS ALSO HAS THE GOOD ICE. You know what I'm talking about. I think it's about time I make a ""Good Ice List"" on here. When I become president, I will make all restaurants carry the good ice. GOOD ICE FOR EVERYONE!)"
QEgfK_TKY8bwK-YzKDdkGw,"French, Restaurants",Charlotte,0,35.19508,-80.825792,Lumiere French Kitchen,140,4.5,"(I spent forever trying to figure out where I wanted to dine for one of my last meals in Charlotte after traveling down on business for the last 1.5 years.  After throwing out many options, we finally chose Lumiere the menu was very intriguing.  I suppose I had very high expectations for Lumiere given the rave Yelp reviews and the solid menu, but after trying a few things I've decided it was good, but doesn't quite go down in my book of Charlotte restaurants as being a ""must try"".

The seating here was very comfortable; we were given a huge booth for two people.  It was pretty quiet on a Tuesday evening, but the atmosphere was still uppity enough for it not to be too quiet.  Our waiter was very friendly and helpful - liked him a lot!

We were presented with a guyere-filled bread and a cute baby cup of delicious butternut squash soup as an amuse bouche - great start to the meal. 

We started off with a few small plates - the local half dozen oysters were good, but probably not the best I've had.  I guess I'm just used to having my oysters with the usual condiments, which they sadly did not have (though I'm told good oysters don't need condiments - I'm just a sucker for routine).  The escargot was okay - the breading was a little overpowering with butter taste and I was kind of expecting the usual escargot presentation with garlickly oil to soak my bread in.  Still decent, though.  The FOIE GRAS was where it was at.  This was 100% the best dish of the night.  They gave us a healthy, healthy serving of nicely cooked foie gras with a delicious cooked date on the side.  I was pleasantly surprised at how good this was.

As for entrees, we got the duck l'orange and the sea scallops.  The sea scallops were a bit salty but nicely cooked.  I wasn't quite a fan of the risotto.  I also noticed that the scallops dish was very, very hot.  All of it basically burned my tongue which was a bit weird... never really had that happen before.  The duck, in my opinion, was my second favorite dish.  It was cooked to a nice medium temperature and wasn't too salty and the sweet orange sauce complemented the saltiness very well.

The value is pretty decent - given all the dishes (all relatively large portions) we ordered plus a couple glasses of wine, we were surprised to see our bill was much more affordable than we thought.

Lumiere is worth a try for some decent French food, but I would stick with definitely ordering the foie gras and the duck here.),(I have been fortunate to dine in many places all over the world. So for me to say that Lumiere is in my top 5 is saying a lot. It also is a very unlikely location (a small strip mall) for such a fine dining experience. But do not let that fool you - this is excellent french cuisine!

The interior is well decorated, and the service team is very friendly. We had escargot, french onion soup, and the duck confit for starters. All amazing. They also brought an amuse bouche of a soup shot and a pastry that were both great.

The entrees were fantastic! So much going on each plate, with a generous serving. I had a filet mignon served over a brioche with seared foie gras, black truffles, asparagus, and mush rooms. Simply divine. My girlfriend had a pork chop, with chorizo pork sausage, french beans, and something else I forget - also amazing.

And dessert was great too - black cherry creme brulee with lemon sorbet and flourless chocolate torte with brown butter gelato with marshmellow glaze. From start to finish, an excellent dinner in what I would consider a ""hole-in-the-wall"" location. If I lived in Charlotte, I would be eating here regularly.)"
4BEl7jCbias-xEr-LrA1qw,"Food, Coffee & Tea",Charlotte,1,35.22764,-80.842714,Starbucks,38,3.0,"(This Starbucks is in a super spot, especially if you can snag one of the tables up against the glass. From this great perch, you can sit and watch the city of Charlotte walk by. Strongly recommended on a game day when the silver blue and black are practically a parade!

Coffee is standard Starbucks - slightly overdone and slightly overpriced. There are also coolers of pastries and cold drinks.

While they do have wi-fi, I did not spot any power outlets. The bathroom needed a tidy and restock, but I suppose that's normal for an urban location.),(While I wish Uptown would bring in more local coffee and tea shops, this Starbucks has a lock on the city due to its location and street facing facade. 

Like Stephen K, I won't bore you with my favorite drinks or snackies at the 'Bucks but here are the relevant nuggets of knowledge:

1) This Starbucks is right across the street from the Bank of America building (cha-ching)...granted, within walking distance you can find a few other local spots to grab some brew, but folks usually see the big green sign and flock to the familiar.
2) The baristas are friendly and fast
3) While most people pick up after themselves, you'll probably find a dirty table or two since this place has so many visitors and a ton of foot traffic.
4) You won't find any parking around here...but most folks in the Charlotte area know that already. 

This Starbucks is A-OK with me, but frankly, I've had better!)"
h1JiQERQeiV8kxv5KRjWYA,"Restaurants, Sandwiches",Charlotte,1,35.2186768033,-80.9424017063,Fresh Attractions,35,2.5,"(How could I have forgotten my forgettable experience at Fresh Attractions the last time I was stressing through CLT? And thus, confirmation: the food here sucks.

Sure, the Jalapeño Chicken panino sounds appealing. One bite in, and I called shenanigans on the ""grilled"" poultry (brown lines looked drawn on), nearly raw bacon fat with the titillating essence of fake jalapeño spice, and a puddle of gross honey mustard on bread pressed in a lukewarm griddle. Great, now it just feels stale. How much does instant regret cost? $9.50? Sounds about right.

Did I mention the lettuce felt like paper in my mouth? I'm sorry; that sounds insensitive - I actually know a few people who eat paper, and they're fine folks. They'd never touch this sandwich.

Never again.),(Before you eat here, know that there's a Starbucks just up the way, and a Sbarro just across from it. Both are better options, kids. 

I was attracted to the idea of freshness, but that's not at all what I got. My turkey and pesto panini was salty, and although they had grilled it it was still cold. Very unappealing and gross. For an $8 sandwich, I expected a lot more. 

There are very few food options in this terminal, but believe me when I say you're better off eating at any other than Fresh Attractions.),(A bit confusing as to where to go, what to pick and where to stand in line, but when you are at an airport and hungry - it's amazing what you will go through to get a bite to eat!),(It was just after 7 a.m., I'd just arrived at Charlotte airport and wanted to grab something small before my next flight onto my final destination an hour later.

I really wanted a cheese danish from Starbucks, but as I passed the Starbucks kiosk in this concourse the line was about 30 people deep and I didn't have the patience to deal with that.  I came upon Fresh Attractions, there was only 1 person in line and whatta ya know, this place had the SAME cheese danishes as Starbucks!  Win!!

I grabbed a Danish and a bottle of milk and paid $5.50 for everything, or less than a cup of coffee alone would've cost at Starbucks. Double win!!)"
uCgHhVx88-23VCZTdh8hxg,"Mediterranean, Greek, Restaurants, Sandwiches, Burgers",Charlotte,1,35.30054129999999,-80.7526632,Showmars - University,56,3.5,"(Was introduced to this greek fast food chain by my coworker. It reminded me a lot of California's Daphnes chain. Was overwhelmed by their extensive menu, and they seem to be known for their burger in a pita (forgot what it's called). However, I was craving gyro meat, so got the gyro dinner plate which came with a side salad, pita, gyro meat, sauce, french fries, and a drink! It was about $10. Very quick in service, and I had 2 boxes to take with me to go! Tons of gyro meat, but it was a bit dry. Their pita is really good, I think they fry it, giving it that extra yumminess. I ended up making my own gyro with the veggies from the salad. Their fries were the crinkle cut kind, and it was good, but way too much! I couldn't even eat half my meal!

They have the special ice, which they put a ton of, which means getting a refill when you pick up your food! Staff are all very friendly and courteous as well. Casual greek food.),(Always on the look out for a good Gyro! So I found this place on yelp and it was right down the street from the office in Charlotte. Huge place, not many people, strange vibe, very cafeteria type place. The cook was hitting on the cashier and chatting her up for about 5 minutes before she was able to take my order, interesting.......

The food! The french fries were excellent, the side salad was great, the Gyro left much to be desired!)"
